id,monday,tuesday,wednesday,thursday,friday,saturday,sunday
1,17:00,17:00,17:00,17:00,17:00,17:00,17:00
2,10:00,10:00,10:00,10:00,10:00,10:00,10:00
3,19:00,19:00,19:00,19:00,19:00,19:00,19:00
4,23:59,23:59,23:59,23:59,23:59,23:59,23:59
5,18:00,18:00,18:00,18:00,18:00,18:00,18:00
6,16:00,16:00,16:00,16:00,16:00,16:00,16:00
7,-,-,-,-,20:00,20:00,20:00
8,17:00,17:00,17:00,17:00,17:00,17:30,17:30
9,20:00,20:00,20:00,20:00,20:00,20:00,20:00
10,17:00,17:00,17:00,17:00,17:00,17:00,-
11,18:00,18:00,18:00,18:00,19:00,19:00,18:00
12,-,17:00,17:00,17:00,17:00,18:00,18:00
13,16:00,16:00,16:00,16:00,16:00,16:30,16:30
14,16:30,16:30,16:30,16:30,16:30,16:30,16:30
15,17:00,17:00,17:00,17:00,21:00,21:00,17:00
16,21:00,21:00,21:00,21:00,21:00,21:00,21:00
17,15:30,15:30,15:30,15:30,15:30,-,-
18,-,-,-,-,-,13:00,-
19,16:00,16:00,16:00,16:00,-,14:00,14:00
20,21:00,21:00,21:00,21:00,21:00,22:00,22:00
21,17:00,17:00,17:00,17:00,17:00,-,-
22,22:00,22:00,22:00,22:00,22:00,23:00,23:00
23,-,16:00,16:00,16:00,16:00,16:00,16:00
24,20:30,20:30,20:30,20:30,20:30,21:30,21:00
25,-,-,-,-,-,16:00,16:00
26,15:00,15:00,15:00,15:00,-,15:00,16:00
27,16:00,16:00,16:00,16:00,16:00,13:00,-
28,13:00,13:00,13:00,13:00,10:00,12:00,13:00
29,-,-,-,-,-,17:00,17:00
30,20:00,20:00,20:00,20:00,20:00,21:00,21:00
